n.convolution; d.Gy; dd.Gy; f
0; 6.682369e-05; 4.632792e-06; 4.363328e+00
0; 7.161985e-05; 4.965304e-06; 3.982962e+00
0; 7.676026e-05; 5.321681e-06; 3.627409e+00
0; 8.226961e-05; 5.703636e-06; 3.296396e+00
0; 8.817438e-05; 6.113006e-06; 2.989397e+00
0; 9.450296e-05; 6.551758e-06; 2.705675e+00
0; 1.012858e-04; 7.022000e-06; 2.444330e+00
0; 1.085554e-04; 7.525993e-06; 2.204340e+00
0; 1.163468e-04; 8.066160e-06; 1.984598e+00
0; 1.246974e-04; 8.645096e-06; 1.783936e+00
0; 1.336474e-04; 9.265584e-06; 1.601162e+00
0; 1.432397e-04; 9.930607e-06; 1.435076e+00
0; 1.535205e-04; 1.064336e-05; 1.284489e+00
0; 1.645392e-04; 1.140727e-05; 1.148240e+00
0; 1.763488e-04; 1.222601e-05; 1.025203e+00
0; 1.890059e-04; 1.310352e-05; 9.143032e-01
0; 2.025715e-04; 1.404400e-05; 8.145145e-01
0; 2.171108e-04; 1.505199e-05; 7.248699e-01
0; 2.326936e-04; 1.613232e-05; 6.444613e-01
0; 2.493948e-04; 1.729019e-05; 5.724411e-01
0; 2.672947e-04; 1.853117e-05; 5.080217e-01
0; 2.864794e-04; 1.986121e-05; 4.504747e-01
0; 3.070410e-04; 2.128672e-05; 3.991289e-01
0; 3.290784e-04; 2.281454e-05; 3.533684e-01
0; 3.526975e-04; 2.445202e-05; 3.126297e-01
0; 3.780118e-04; 2.620703e-05; 2.763986e-01
0; 4.051431e-04; 2.808800e-05; 2.442077e-01
0; 4.342216e-04; 3.010397e-05; 2.156320e-01
0; 4.653872e-04; 3.226464e-05; 1.902876e-01
0; 4.987896e-04; 3.458038e-05; 1.678282e-01
0; 5.345895e-04; 3.706234e-05; 1.479401e-01
0; 5.729588e-04; 3.972243e-05; 1.303422e-01
0; 6.140821e-04; 4.257345e-05; 1.147817e-01
0; 6.581569e-04; 4.562909e-05; 1.010319e-01
0; 7.053950e-04; 4.890405e-05; 8.888969e-02
0; 7.560237e-04; 5.241406e-05; 7.817362e-02
0; 8.102861e-04; 5.617600e-05; 6.872162e-02
0; 8.684432e-04; 6.020795e-05; 6.038909e-02
0; 9.307743e-04; 6.452928e-05; 5.304727e-02
0; 9.975792e-04; 6.916077e-05; 4.658157e-02
0; 1.069179e-03; 7.412468e-05; 4.089011e-02
0; 1.145918e-03; 7.944486e-05; 3.588244e-02
0; 1.228164e-03; 8.514689e-05; 3.147830e-02
0; 1.316314e-03; 9.125818e-05; 2.760653e-02
0; 1.410790e-03; 9.780810e-05; 2.420411e-02
0; 1.512047e-03; 1.048281e-04; 2.121526e-02
0; 1.620572e-03; 1.123520e-04; 1.859064e-02
0; 1.736886e-03; 1.204159e-04; 1.628666e-02
0; 1.861549e-03; 1.290586e-04; 1.426481e-02
0; 1.995158e-03; 1.383215e-04; 1.249109e-02
0; 2.138358e-03; 1.482494e-04; 1.093551e-02
0; 2.291835e-03; 1.588897e-04; 9.571633e-03
0; 2.456328e-03; 1.702938e-04; 8.376162e-03
0; 2.632627e-03; 1.825164e-04; 7.328577e-03
0; 2.821580e-03; 1.956162e-04; 6.410815e-03
0; 3.024095e-03; 2.096562e-04; 5.606981e-03
0; 3.241145e-03; 2.247040e-04; 4.903094e-03
0; 3.473773e-03; 2.408318e-04; 4.286863e-03
0; 3.723097e-03; 2.581171e-04; 3.747486e-03
0; 3.990317e-03; 2.766431e-04; 3.275475e-03
0; 4.276716e-03; 2.964987e-04; 2.862496e-03
0; 4.583671e-03; 3.177794e-04; 2.501234e-03
0; 4.912656e-03; 3.405876e-04; 2.185269e-03
0; 5.265255e-03; 3.650327e-04; 1.908969e-03
0; 5.643160e-03; 3.912324e-04; 1.667396e-03
0; 6.048190e-03; 4.193125e-04; 1.456217e-03
0; 6.482289e-03; 4.494080e-04; 1.271637e-03
0; 6.947545e-03; 4.816636e-04; 1.110329e-03
0; 7.446195e-03; 5.162342e-04; 9.693800e-04
0; 7.980634e-03; 5.532861e-04; 8.462359e-04
0; 8.553432e-03; 5.929974e-04; 7.386620e-04
0; 9.167341e-03; 6.355589e-04; 6.447014e-04
0; 9.825313e-03; 6.811751e-04; 5.626410e-04
0; 1.053051e-02; 7.300654e-04; 4.909821e-04
0; 1.128632e-02; 7.824648e-04; 4.284133e-04
0; 1.209638e-02; 8.386250e-04; 3.737873e-04
0; 1.296458e-02; 8.988160e-04; 3.261007e-04
0; 1.389509e-02; 9.633271e-04; 2.844762e-04
0; 1.489239e-02; 1.032468e-03; 2.481466e-04
0; 1.596127e-02; 1.106572e-03; 2.164412e-04
0; 1.710686e-02; 1.185995e-03; 1.887739e-04
0; 1.833468e-02; 1.271118e-03; 1.646324e-04
0; 1.965063e-02; 1.362350e-03; 1.435693e-04
0; 2.106102e-02; 1.460131e-03; 1.251933e-04
0; 2.257264e-02; 1.564930e-03; 1.091629e-04
